letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 23: SSE = 7.092447481349153E-5
Iteration 24: SSE = 7.007786370711642E-5
Iteration 25: SSE = 6.939556711050876E-5
Iteration 26: SSE = 6.880081176578968E-5
Iteration 27: SSE = 6.829222404770593E-5
Iteration 28: SSE = 6.785668576668249E-5
Iteration 29: SSE = 6.752905611413962E-5
Iteration 30: SSE = 6.726477289838163E-5
Iteration 31: SSE = 6.707113911224587E-5
Iteration 32: SSE = 6.694214287955141E-5
Iteration 33: SSE = 6.684377324796499E-5
Iteration 34: SSE = 6.674985066564022E-5
Iteration 35: SSE = 6.6667933436116E-5
Iteration 36: SSE = 6.658876030057716E-5
Iteration 37: SSE = 6.651315793690435E-5
Iteration 38: SSE = 6.643781130546426E-5
Iteration 39: SSE = 6.635778907682785E-5
Iteration 40: SSE = 6.6289462262328E-5
Iteration 41: SSE = 6.623446321603517E-5

Run 5
-------
Iteration 1: SSE = 1.9723291561451003E-4
Iteration 2: SSE = 1.2984628127954442E-4
Iteration 3: SSE = 1.2298660411584904E-4
Iteration 4: SSE = 1.1827917965938333E-4
Iteration 5: SSE = 1.1543172624507642E-4
Iteration 6: SSE = 1.1212169630065282E-4
Iteration 7: SSE = 1.0836978925754557E-4
Iteration 8: SSE = 1.037965135382486E-4
Iteration 9: SSE = 1.0017223476886525E-4
Iteration 10: SSE = 9.77736479140539E-5
Iteration 11: SSE = 9.539237782845647E-5
Iteration 12: SSE = 9.286004481446456E-5
Iteration 13: SSE = 9.108636536840273E-5
Iteration 14: SSE = 8.915890540593464E-5
Iteration 15: SSE = 8.67487401129263E-5
Iteration 16: SSE = 8.438836902874279E-5
Iteration 17: SSE = 8.145297817637229E-5
Iteration 18: SSE = 7.894474284201978E-5
Iteration 19: SSE = 7.72508049204711E-5
Iteration 20: SSE = 7.584173071537714E-5
Iteration 21: SSE = 7.470930375211112E-5
Iteration 22: SSE = 7.366643597948537E-5
Iteration 23: SSE = 7.216433336788397E-5
Iteration 24: SSE = 7.073906771954983E-5
Iteration 25: SSE = 6.979838989520752E-5
Iteration 26: SSE = 6.916971341288003E-5
Iteration 27: SSE = 6.871333498988477E-5
Iteration 28: SSE = 6.83399370126562E-5
Iteration 29: SSE = 6.799055494991484E-5
Iteration 30: SSE = 6.767639140826486E-5
Iteration 31: SSE = 6.741989827180277E-5
Iteration 32: SSE = 6.720429490812219E-5
Iteration 33: SSE = 6.703861477102578E-5
Iteration 34: SSE = 6.689647003643354E-5
Iteration 35: SSE = 6.677100793953159E-5
Iteration 36: SSE = 6.666747979907242E-5
Iteration 37: SSE = 6.657517726299251E-5
Iteration 38: SSE = 6.64933121941639E-5
Iteration 39: SSE = 6.641687133264077E-5
Iteration 40: SSE = 6.635508020007154E-5

Run 6
-------
Iteration 1: SSE = 1.912472340593261E-4
Iteration 2: SSE = 1.310213715220938E-4
Iteration 3: SSE = 1.229266626748309E-4
Iteration 4: SSE = 1.1814930616470578E-4
Iteration 5: SSE = 1.1529582819195668E-4
Iteration 6: SSE = 1.1203568465544878E-4
Iteration 7: SSE = 1.0778710042571629E-4
Iteration 8: SSE = 1.0334442153273175E-4
Iteration 9: SSE = 1.0034794156255636E-4
Iteration 10: SSE = 9.767808844023534E-5
Iteration 11: SSE = 9.479391070460392E-5
Iteration 12: SSE = 9.231257089907299E-5
