yeast.txt  10.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 0.7206322625084551
Iteration 2: SSE = 0.6477849473508698
Iteration 3: SSE = 0.6118086227645768
Iteration 4: SSE = 0.5917834062759993
Iteration 5: SSE = 0.5560366807654143
Iteration 6: SSE = 0.5145555021838137
Iteration 7: SSE = 0.4304198762956479
Iteration 8: SSE = 0.37736013532247953
Iteration 9: SSE = 0.3630479505096207
Iteration 10: SSE = 0.35420007418643984
Iteration 11: SSE = 0.2724431530341403
Iteration 12: SSE = 0.19011576882486383
Iteration 13: SSE = 0.1895703266999879
Iteration 14: SSE = 0.1891607210794595
Iteration 15: SSE = 0.18881948683223207
Iteration 16: SSE = 0.1884821192571729
Iteration 17: SSE = 0.18811628568392355
Iteration 18: SSE = 0.18760827119490137
Iteration 19: SSE = 0.18701386586117905
Iteration 20: SSE = 0.18634080324886348
Iteration 21: SSE = 0.18571507863786943
Iteration 22: SSE = 0.18482923408272964
Iteration 23: SSE = 0.1838988807619649
Iteration 24: SSE = 0.18331716737046397
Iteration 25: SSE = 0.18294927436282601
Iteration 26: SSE = 0.18267565153582677
Iteration 27: SSE = 0.182516368043343

Run 2
-------
Iteration 1: SSE = 0.7702525051187871
Iteration 2: SSE = 0.6629441815133541
Iteration 3: SSE = 0.6154196357922688
Iteration 4: SSE = 0.5778737465090739
Iteration 5: SSE = 0.5547171121744957
Iteration 6: SSE = 0.5184211095686404
Iteration 7: SSE = 0.4094522471690164
Iteration 8: SSE = 0.3790622617359631
Iteration 9: SSE = 0.3603268807421036
Iteration 10: SSE = 0.3519683974731699
Iteration 11: SSE = 0.3494053634592985
Iteration 12: SSE = 0.347225351182518
Iteration 13: SSE = 0.345753614569066
Iteration 14: SSE = 0.34476976975087714
Iteration 15: SSE = 0.34324125007152023
Iteration 16: SSE = 0.3417588117354072
Iteration 17: SSE = 0.340564291088404
Iteration 18: SSE = 0.3397408591886562
Iteration 19: SSE = 0.33927843376014355
Iteration 20: SSE = 0.3391534054431609

Run 3
-------
Iteration 1: SSE = 0.7298641625833586
Iteration 2: SSE = 0.6576699448204854
Iteration 3: SSE = 0.6363529747757514
Iteration 4: SSE = 0.5966227599733629
Iteration 5: SSE = 0.5416666514734011
Iteration 6: SSE = 0.4805537005634466
Iteration 7: SSE = 0.39319281682642526
Iteration 8: SSE = 0.3706895183174497
Iteration 9: SSE = 0.3592794085822959
Iteration 10: SSE = 0.35255813831891264
Iteration 11: SSE = 0.3478740928060318
Iteration 12: SSE = 0.345660714913113
Iteration 13: SSE = 0.34432090874305943
Iteration 14: SSE = 0.3433928372203203
Iteration 15: SSE = 0.3428057682892574
Iteration 16: SSE = 0.34249377621691834

Run 4
-------
Iteration 1: SSE = 0.7860088343089587
Iteration 2: SSE = 0.6361584406453165
Iteration 3: SSE = 0.5962154051941015
Iteration 4: SSE = 0.5580173367004994
Iteration 5: SSE = 0.4977643003716434
Iteration 6: SSE = 0.343824913838923
Iteration 7: SSE = 0.32839101006896304
Iteration 8: SSE = 0.3118347874999827
Iteration 9: SSE = 0.293065967142094
Iteration 10: SSE = 0.2578025553995149
Iteration 11: SSE = 0.19343649096297122
Iteration 12: SSE = 0.1912561411891837
Iteration 13: SSE = 0.19018713256251085
Iteration 14: SSE = 0.18959976886834815
Iteration 15: SSE = 0.18929576286837357
Iteration 16: SSE = 0.1890963461903507
Iteration 17: SSE = 0.188977459183657

Run 5
-------
Iteration 1: SSE = 0.7771982697087392
Iteration 2: SSE = 0.6640943845010663
Iteration 3: SSE = 0.619661903967939
Iteration 4: SSE = 0.5851975367431181
Iteration 5: SSE = 0.5623514365892642
Iteration 6: SSE = 0.5364646318558157
Iteration 7: SSE = 0.4711606881331866
Iteration 8: SSE = 0.3882111175465941
Iteration 9: SSE = 0.37131567504319013
Iteration 10: SSE = 0.354035673271942
Iteration 11: SSE = 0.34654974214465967
Iteration 12: SSE = 0.3450025825455169
Iteration 13: SSE = 0.34430688870442777
Iteration 14: SSE = 0.34364682766716326
Iteration 15: SSE = 0.3424836503701764
Iteration 16: SSE = 0.34166243103079635
Iteration 17: SSE = 0.34135043825324063

Run 6
-------
Iteration 1: SSE = 0.7258877524774702
Iteration 2: SSE = 0.6252940419918287
Iteration 3: SSE = 0.5996303669026002
Iteration 4: SSE = 0.5689799569266079
Iteration 5: SSE = 0.5380668428160703
Iteration 6: SSE = 0.4887934368871044
Iteration 7: SSE = 0.4000513738192867
Iteration 8: SSE = 0.3808812341808508
Iteration 9: SSE = 0.36733990480902934
Iteration 10: SSE = 0.3579060886445771
Iteration 11: SSE = 0.3530957467659172
Iteration 12: SSE = 0.35034067436380506
Iteration 13: SSE = 0.34854851892280725
Iteration 14: SSE = 0.34743287814457546
Iteration 15: SSE = 0.3467851730058823
Iteration 16: SSE = 0.34648626451255526

Run 7
-------
Iteration 1: SSE = 0.7688955011848895
Iteration 2: SSE = 0.6679908404782924
Iteration 3: SSE = 0.6320782412181912
Iteration 4: SSE = 0.5837488234028989
Iteration 5: SSE = 0.5552962036214713
Iteration 6: SSE = 0.5218033849546069
Iteration 7: SSE = 0.44436465032165434
Iteration 8: SSE = 0.38881973362607114
Iteration 9: SSE = 0.36307863797668066
Iteration 10: SSE = 0.3538368911323518
Iteration 11: SSE = 0.3491921924975302
Iteration 12: SSE = 0.3463253854349614
Iteration 13: SSE = 0.34521625881246887
Iteration 14: SSE = 0.34481649906988665
Iteration 15: SSE = 0.34457736034103065

Run 8
-------
Iteration 1: SSE = 0.7610848915664676
