letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 15: SSE = 8.67978042425119E-5
Iteration 16: SSE = 8.51777771984743E-5
Iteration 17: SSE = 8.28396197996693E-5
Iteration 18: SSE = 8.020382433024666E-5
Iteration 19: SSE = 7.815099016905135E-5
Iteration 20: SSE = 7.628400863543464E-5
Iteration 21: SSE = 7.497329503097323E-5
Iteration 22: SSE = 7.37971064253736E-5
Iteration 23: SSE = 7.289798780686796E-5
Iteration 24: SSE = 7.211072112639803E-5
Iteration 25: SSE = 7.112262161556593E-5
Iteration 26: SSE = 6.991152673810045E-5
Iteration 27: SSE = 6.877639087351859E-5
Iteration 28: SSE = 6.806082927515803E-5
Iteration 29: SSE = 6.763673712923463E-5
Iteration 30: SSE = 6.734961669180085E-5
Iteration 31: SSE = 6.710155572255424E-5
Iteration 32: SSE = 6.688871357594398E-5
Iteration 33: SSE = 6.665205458018946E-5
Iteration 34: SSE = 6.641500484108109E-5
Iteration 35: SSE = 6.620628182163292E-5
Iteration 36: SSE = 6.604658800424654E-5
Iteration 37: SSE = 6.595165244359268E-5
Iteration 38: SSE = 6.589932084981209E-5

Run 5
-------
Iteration 1: SSE = 2.0500858220233063E-4
Iteration 2: SSE = 1.4235754691322014E-4
Iteration 3: SSE = 1.3417002630455768E-4
Iteration 4: SSE = 1.2043389327383303E-4
Iteration 5: SSE = 1.1188865667495767E-4
Iteration 6: SSE = 1.0686122799879875E-4
Iteration 7: SSE = 1.0382293847219256E-4
Iteration 8: SSE = 1.0100126506504758E-4
Iteration 9: SSE = 9.826201291982998E-5
Iteration 10: SSE = 9.648059931040741E-5
Iteration 11: SSE = 9.504039102928556E-5
Iteration 12: SSE = 9.320323287931328E-5
Iteration 13: SSE = 9.091056479381486E-5
Iteration 14: SSE = 8.902440591060522E-5
Iteration 15: SSE = 8.703724458332148E-5
Iteration 16: SSE = 8.49053974664293E-5
Iteration 17: SSE = 8.283000004781446E-5
Iteration 18: SSE = 8.06918924653774E-5
Iteration 19: SSE = 7.899922146239513E-5
Iteration 20: SSE = 7.731034023384911E-5
Iteration 21: SSE = 7.545988803897592E-5
Iteration 22: SSE = 7.35101420899601E-5
Iteration 23: SSE = 7.215562404867001E-5
Iteration 24: SSE = 7.097347911547422E-5
Iteration 25: SSE = 6.965701620442563E-5
Iteration 26: SSE = 6.863694975467138E-5
Iteration 27: SSE = 6.788418314720305E-5
Iteration 28: SSE = 6.73600592291104E-5
Iteration 29: SSE = 6.701187154617202E-5
Iteration 30: SSE = 6.681701879670685E-5
Iteration 31: SSE = 6.665494554276094E-5
Iteration 32: SSE = 6.652038467433192E-5
Iteration 33: SSE = 6.643029583863264E-5
Iteration 34: SSE = 6.63530791890748E-5
Iteration 35: SSE = 6.628924381596406E-5

Run 6
-------
Iteration 1: SSE = 2.3247341957970675E-4
Iteration 2: SSE = 1.2738612762046953E-4
Iteration 3: SSE = 1.204044632305202E-4
Iteration 4: SSE = 1.1571544868309644E-4
Iteration 5: SSE = 1.1335729774315068E-4
Iteration 6: SSE = 1.1099441716400951E-4
Iteration 7: SSE = 1.0763694623206462E-4
Iteration 8: SSE = 1.0505090986217533E-4
Iteration 9: SSE = 1.0215585487630955E-4
Iteration 10: SSE = 9.912001289409009E-5
Iteration 11: SSE = 9.520687606461836E-5
Iteration 12: SSE = 9.148464490626787E-5
Iteration 13: SSE = 8.826140932661011E-5
Iteration 14: SSE = 8.533466866085014E-5
Iteration 15: SSE = 8.368833467372309E-5
Iteration 16: SSE = 8.182525442110977E-5
Iteration 17: SSE = 7.940230518255038E-5
Iteration 18: SSE = 7.76053182590637E-5
Iteration 19: SSE = 7.631198299981651E-5
Iteration 20: SSE = 7.504762641814953E-5
Iteration 21: SSE = 7.383008945519288E-5
Iteration 22: SSE = 7.282174222060607E-5
Iteration 23: SSE = 7.20709833126656E-5
Iteration 24: SSE = 7.135737168871326E-5
Iteration 25: SSE = 7.051651678221059E-5
Iteration 26: SSE = 6.988779857240578E-5
Iteration 27: SSE = 6.940520372757996E-5
Iteration 28: SSE = 6.904176129565792E-5
Iteration 29: SSE = 6.870734280404946E-5
Iteration 30: SSE = 6.835743718798724E-5
Iteration 31: SSE = 6.801496005422823E-5
Iteration 32: SSE = 6.766044970597591E-5
Iteration 33: SSE = 6.734844415563119E-5
Iteration 34: SSE = 6.714583943523081E-5
Iteration 35: SSE = 6.699587608720223E-5
Iteration 36: SSE = 6.688755200251557E-5
Iteration 37: SSE = 6.680258917421697E-5
Iteration 38: SSE = 6.674113184222838E-5

Run 7
-------
Iteration 1: SSE = 2.358080407597555E-4
Iteration 2: SSE = 1.4150860744538865E-4
Iteration 3: SSE = 1.3448624784067595E-4
Iteration 4: SSE = 1.2185647312899877E-4
Iteration 5: SSE = 1.1272138232808515E-4
Iteration 6: SSE = 1.0823838261800286E-4
Iteration 7: SSE = 1.0511787327260182E-4
Iteration 8: SSE = 1.0167940009512038E-4
Iteration 9: SSE = 9.89807416403158E-5
Iteration 10: SSE = 9.6839900942771E-5
Iteration 11: SSE = 9.531262774852029E-5
Iteration 12: SSE = 9.339780683979384E-5
Iteration 13: SSE = 9.155694578271734E-5
Iteration 14: SSE = 8.953536889485423E-5
Iteration 15: SSE = 8.67830620995665E-5
Iteration 16: SSE = 8.423242081409353E-5
Iteration 17: SSE = 8.20197890177925E-5
Iteration 18: SSE = 8.039473713101376E-5
Iteration 19: SSE = 7.89333698994344E-5
Iteration 20: SSE = 7.765016705979467E-5
Iteration 21: SSE = 7.600502525114058E-5
Iteration 22: SSE = 7.378789870911566E-5
Iteration 23: SSE = 7.191045603836631E-5
Iteration 24: SSE = 7.070841764328416E-5
Iteration 25: SSE = 6.977765073835108E-5
Iteration 26: SSE = 6.888114291887333E-5
Iteration 27: SSE = 6.80887103074769E-5
Iteration 28: SSE = 6.758980689366754E-5
Iteration 29: SSE = 6.73064091137684E-5
Iteration 30: SSE = 6.711650697383706E-5
Iteration 31: SSE = 6.699670110394024E-5
Iteration 32: SSE = 6.69153042793096E-5
Iteration 33: SSE = 6.684472634274227E-5
Iteration 34: SSE = 6.675521650347116E-5
Iteration 35: SSE = 6.665034035559365E-5
Iteration 36: SSE = 6.656976364053312E-5
Iteration 37: SSE = 6.649928572840978E-5
Iteration 38: SSE = 6.644168957883798E-5

Run 8
-------
Iteration 1: SSE = 2.0985431931555288E-4
Iteration 2: SSE = 1.3199444310767823E-4
Iteration 3: SSE = 1.2346631668782204E-4
Iteration 4: SSE = 1.1841876575349655E-4
Iteration 5: SSE = 1.1350163724400078E-4
Iteration 6: SSE = 1.0984043701688037E-4
Iteration 7: SSE = 1.0639963621160665E-4
Iteration 8: SSE = 1.0333091294158438E-4
Iteration 9: SSE = 1.0113287802665347E-4
Iteration 10: SSE = 9.889370018847062E-5
Iteration 11: SSE = 9.592780193477727E-5
Iteration 12: SSE = 9.290770653448841E-5
Iteration 13: SSE = 8.992331105229654E-5
Iteration 14: SSE = 8.741867679330548E-5
Iteration 15: SSE = 8.51675207258831E-5
Iteration 16: SSE = 8.286696795609187E-5
Iteration 17: SSE = 8.121743665766642E-5
Iteration 18: SSE = 7.987768531844782E-5
Iteration 19: SSE = 7.850401569601992E-5
Iteration 20: SSE = 7.699720388033978E-5
Iteration 21: SSE = 7.485545047116795E-5
Iteration 22: SSE = 7.338867451885114E-5
Iteration 23: SSE = 7.23062433455915E-5
Iteration 24: SSE = 7.129553649582795E-5
Iteration 25: SSE = 7.045209055620172E-5
Iteration 26: SSE = 6.978223001688243E-5
Iteration 27: SSE = 6.92615590240588E-5
Iteration 28: SSE = 6.8856445911859E-5
Iteration 29: SSE = 6.85510886393223E-5
Iteration 30: SSE = 6.826143125044702E-5
Iteration 31: SSE = 6.800371815143683E-5
Iteration 32: SSE = 6.77354250228338E-5
Iteration 33: SSE = 6.752611299511857E-5
Iteration 34: SSE = 6.73676707665368E-5
Iteration 35: SSE = 6.72331865451323E-5
Iteration 36: SSE = 6.712485280382904E-5
Iteration 37: SSE = 6.70509891730593E-5
Iteration 38: SSE = 6.70050995123577E-5

Run 9
-------
Iteration 1: SSE = 2.2020452488101769E-4
Iteration 2: SSE = 1.3059247582137315E-4
Iteration 3: SSE = 1.2149045601545649E-4
Iteration 4: SSE = 1.1689815450527017E-4
Iteration 5: SSE = 1.1287425064069885E-4
Iteration 6: SSE = 1.077261835699783E-4
Iteration 7: SSE = 1.0451973761782325E-4
Iteration 8: SSE = 1.025165528423698E-4
Iteration 9: SSE = 1.0049595472684917E-4
Iteration 10: SSE = 9.795240574771876E-5
Iteration 11: SSE = 9.542882951733543E-5
Iteration 12: SSE = 9.277410462620729E-5
Iteration 13: SSE = 8.990587743102981E-5
Iteration 14: SSE = 8.672113515927739E-5
Iteration 15: SSE = 8.384321746313707E-5
Iteration 16: SSE = 8.1699241055063E-5
Iteration 17: SSE = 7.906093869898109E-5
Iteration 18: SSE = 7.698137998846212E-5
Iteration 19: SSE = 7.585291008125179E-5
Iteration 20: SSE = 7.482953229057826E-5
Iteration 21: SSE = 7.38190275899214E-5
Iteration 22: SSE = 7.292204763085915E-5
Iteration 23: SSE = 7.210368879732266E-5
Iteration 24: SSE = 7.109045589702982E-5
Iteration 25: SSE = 6.997308564556973E-5
Iteration 26: SSE = 6.920930628784579E-5
Iteration 27: SSE = 6.865886115666371E-5
Iteration 28: SSE = 6.821677537666496E-5
Iteration 29: SSE = 6.786187129992551E-5
Iteration 30: SSE = 6.76388537071525E-5
Iteration 31: SSE = 6.752307038407163E-5
Iteration 32: SSE = 6.743701181480022E-5
Iteration 33: SSE = 6.735669657702619E-5
Iteration 34: SSE = 6.727581897471684E-5
Iteration 35: SSE = 6.720303771979087E-5
Iteration 36: SSE = 6.714035875561226E-5

Run 10
-------
Iteration 1: SSE = 1.9791143678787935E-4
Iteration 2: SSE = 1.306752238745229E-4
Iteration 3: SSE = 1.2334867699668697E-4
Iteration 4: SSE = 1.1855057914814454E-4
Iteration 5: SSE = 1.1531465513078492E-4
Iteration 6: SSE = 1.1152184796956192E-4
Iteration 7: SSE = 1.0724734792886494E-4
Iteration 8: SSE = 1.0316939288023739E-4
Iteration 9: SSE = 9.997473173069557E-5
Iteration 10: SSE = 9.711537700773643E-5
Iteration 11: SSE = 9.401066024224766E-5
Iteration 12: SSE = 9.162172156015381E-5
Iteration 13: SSE = 8.906117484600902E-5
Iteration 14: SSE = 8.646058337268464E-5
Iteration 15: SSE = 8.47899466063386E-5
Iteration 16: SSE = 8.321877104212061E-5
Iteration 17: SSE = 8.168379259110693E-5
Iteration 18: SSE = 7.955179372662265E-5
Iteration 19: SSE = 7.740591483032752E-5
Iteration 20: SSE = 7.589929245400169E-5
Iteration 21: SSE = 7.472024667883169E-5
Iteration 22: SSE = 7.37147614774289E-5
Iteration 23: SSE = 7.28063650632233E-5
Iteration 24: SSE = 7.195077967566401E-5
Iteration 25: SSE = 7.088126556784398E-5
Iteration 26: SSE = 6.992423911702904E-5
Iteration 27: SSE = 6.922577874115133E-5
Iteration 28: SSE = 6.87275447260252E-5
Iteration 29: SSE = 6.832273532402503E-5
Iteration 30: SSE = 6.804501819559366E-5
Iteration 31: SSE = 6.784312773962436E-5
Iteration 32: SSE = 6.764213113375678E-5
Iteration 33: SSE = 6.741447470231862E-5
Iteration 34: SSE = 6.716224854246655E-5
Iteration 35: SSE = 6.693268743360172E-5
Iteration 36: SSE = 6.673278505264138E-5
Iteration 37: SSE = 6.65958151087154E-5
Iteration 38: SSE = 6.649744909665736E-5
Iteration 39: SSE = 6.641200337062081E-5
Iteration 40: SSE = 6.635891531769729E-5

Run 11
-------
Iteration 1: SSE = 2.1166069088132512E-4
Iteration 2: SSE = 1.300797465665332E-4
Iteration 3: SSE = 1.2254237234683783E-4
Iteration 4: SSE = 1.18305479497482E-4
Iteration 5: SSE = 1.1569589264675374E-4
Iteration 6: SSE = 1.1196131015223901E-4
Iteration 7: SSE = 1.0731529561719566E-4
Iteration 8: SSE = 1.0166683288740467E-4
Iteration 9: SSE = 9.871187602589852E-5
Iteration 10: SSE = 9.672139173294887E-5
Iteration 11: SSE = 9.436826335841795E-5
Iteration 12: SSE = 9.206573318129455E-5
Iteration 13: SSE = 8.990297093684962E-5
Iteration 14: SSE = 8.745518109472032E-5
Iteration 15: SSE = 8.492288243754857E-5
Iteration 16: SSE = 8.318565283598335E-5
Iteration 17: SSE = 8.198073905466176E-5
Iteration 18: SSE = 8.065355047447128E-5
Iteration 19: SSE = 7.897451759701124E-5
Iteration 20: SSE = 7.767112077442374E-5
Iteration 21: SSE = 7.666640619614313E-5
Iteration 22: SSE = 7.569436481676204E-5
Iteration 23: SSE = 7.447632981280373E-5
Iteration 24: SSE = 7.27468051346907E-5
Iteration 25: SSE = 7.045464785924826E-5
Iteration 26: SSE = 6.877877623073526E-5
Iteration 27: SSE = 6.827684068988489E-5
Iteration 28: SSE = 6.80294453257428E-5
Iteration 29: SSE = 6.786032560231976E-5
Iteration 30: SSE = 6.770707738162054E-5
Iteration 31: SSE = 6.754507935978337E-5
Iteration 32: SSE = 6.738316660238896E-5
Iteration 33: SSE = 6.723423931616167E-5
Iteration 34: SSE = 6.711708313791385E-5
Iteration 35: SSE = 6.698663075651906E-5
Iteration 36: SSE = 6.690731274347396E-5
Iteration 37: SSE = 6.681579993020217E-5
Iteration 38: SSE = 6.670415202103918E-5
Iteration 39: SSE = 6.659427065423316E-5
Iteration 40: SSE = 6.651275164949512E-5
Iteration 41: SSE = 6.646774667579593E-5

Run 12
-------
Iteration 1: SSE = 2.3621516930986497E-4
Iteration 2: SSE = 1.3305601550325183E-4
Iteration 3: SSE = 1.2457466088100792E-4
Iteration 4: SSE = 1.1933511488299539E-4
Iteration 5: SSE = 1.157865785898343E-4
Iteration 6: SSE = 1.1185371886587159E-4
Iteration 7: SSE = 1.077196181252922E-4
Iteration 8: SSE = 1.0114460791690289E-4
Iteration 9: SSE = 9.730450455639256E-5
Iteration 10: SSE = 9.539321165659046E-5
Iteration 11: SSE = 9.426349583308939E-5
Iteration 12: SSE = 9.292645383528656E-5
Iteration 13: SSE = 9.111468744763856E-5
Iteration 14: SSE = 8.913104877425658E-5
Iteration 15: SSE = 8.711847595747841E-5
Iteration 16: SSE = 8.48060783723998E-5
Iteration 17: SSE = 8.217016732293172E-5
Iteration 18: SSE = 7.987311203726991E-5
Iteration 19: SSE = 7.80217944235856E-5
Iteration 20: SSE = 7.626724907127514E-5
Iteration 21: SSE = 7.449659451578067E-5
Iteration 22: SSE = 7.261859571733783E-5
Iteration 23: SSE = 7.09836888736174E-5
Iteration 24: SSE = 7.004810162914437E-5
Iteration 25: SSE = 6.933850502973783E-5
Iteration 26: SSE = 6.876620454153411E-5
Iteration 27: SSE = 6.826703658546266E-5
Iteration 28: SSE = 6.782213830442552E-5
Iteration 29: SSE = 6.74600571169514E-5
Iteration 30: SSE = 6.719704839554717E-5
Iteration 31: SSE = 6.701634212913657E-5
Iteration 32: SSE = 6.690756945962606E-5
Iteration 33: SSE = 6.684191056597224E-5

Run 13
-------
Iteration 1: SSE = 1.977074797716543E-4
Iteration 2: SSE = 1.3185299092343923E-4
Iteration 3: SSE = 1.249409553074494E-4
Iteration 4: SSE = 1.1954241031291467E-4
Iteration 5: SSE = 1.1496134644411196E-4
Iteration 6: SSE = 1.0823827875474378E-4
Iteration 7: SSE = 1.0465667251922454E-4
Iteration 8: SSE = 1.0267700968347536E-4
Iteration 9: SSE = 1.000876582936726E-4
Iteration 10: SSE = 9.775454411264895E-5
Iteration 11: SSE = 9.484411310552556E-5
Iteration 12: SSE = 9.179080903239369E-5
Iteration 13: SSE = 8.924636396328962E-5
Iteration 14: SSE = 8.573764623701752E-5
Iteration 15: SSE = 8.321641292487379E-5
Iteration 16: SSE = 8.108141281731402E-5
Iteration 17: SSE = 7.925508008255663E-5
Iteration 18: SSE = 7.739288477002307E-5
Iteration 19: SSE = 7.618639525838305E-5
Iteration 20: SSE = 7.514638852110854E-5
Iteration 21: SSE = 7.402392384767834E-5
Iteration 22: SSE = 7.287736103861539E-5
Iteration 23: SSE = 7.145564969341639E-5
Iteration 24: SSE = 7.002752023643755E-5
Iteration 25: SSE = 6.907025172021176E-5
Iteration 26: SSE = 6.858894487170093E-5
Iteration 27: SSE = 6.826416972501716E-5
Iteration 28: SSE = 6.795042321692953E-5
Iteration 29: SSE = 6.76708500574678E-5
Iteration 30: SSE = 6.742329342404868E-5
Iteration 31: SSE = 6.724290632676241E-5
Iteration 32: SSE = 6.708949171104846E-5
Iteration 33: SSE = 6.693954477220413E-5
Iteration 34: SSE = 6.682251875212168E-5
Iteration 35: SSE = 6.672343554049004E-5
Iteration 36: SSE = 6.663849433122256E-5
Iteration 37: SSE = 6.655707533075217E-5
Iteration 38: SSE = 6.647509247751958E-5
Iteration 39: SSE = 6.641647981480147E-5

Run 14
-------
Iteration 1: SSE = 2.4129087385931208E-4
Iteration 2: SSE = 1.3235165959034654E-4
Iteration 3: SSE = 1.2160426108256381E-4
Iteration 4: SSE = 1.1644179909923862E-4
Iteration 5: SSE = 1.13149725547563E-4
Iteration 6: SSE = 1.0954965335755162E-4
Iteration 7: SSE = 1.071896147480428E-4
Iteration 8: SSE = 1.0439141468717818E-4
Iteration 9: SSE = 1.0065711681980968E-4
Iteration 10: SSE = 9.806997641703886E-5
Iteration 11: SSE = 9.574692597375808E-5
Iteration 12: SSE = 9.398302182225018E-5
Iteration 13: SSE = 9.134541691308968E-5
Iteration 14: SSE = 8.807505521021957E-5
Iteration 15: SSE = 8.477402030917667E-5
Iteration 16: SSE = 8.097760761078132E-5
Iteration 17: SSE = 7.904144344806212E-5
Iteration 18: SSE = 7.766849173306106E-5
Iteration 19: SSE = 7.61283662331025E-5
Iteration 20: SSE = 7.492780221821656E-5
