yeast.txt  10.0 100.0 0.001 100.0
Iteration 7: SSE = 113.78490526300955
Iteration 8: SSE = 111.9846746428496
Iteration 9: SSE = 110.7615801940901
Iteration 10: SSE = 109.72547266773915
Iteration 11: SSE = 107.90558020038283
Iteration 12: SSE = 104.95363019843201
Iteration 13: SSE = 101.485727543975
Iteration 14: SSE = 98.79717460966877
Iteration 15: SSE = 97.64047804742012
Iteration 16: SSE = 96.98098979117228
Iteration 17: SSE = 96.46952715216068
Iteration 18: SSE = 96.14727212514896
Iteration 19: SSE = 95.8764247325242
Iteration 20: SSE = 95.55331302897702
Iteration 21: SSE = 94.95262563520697
Iteration 22: SSE = 94.1763454030853
Iteration 23: SSE = 93.68730006885055
Iteration 24: SSE = 93.36210623879808
Iteration 25: SSE = 92.68289872282082
Iteration 26: SSE = 92.41757403761572
Iteration 27: SSE = 92.30501406834578
Iteration 28: SSE = 92.13203539785316
Iteration 29: SSE = 91.95361625140603
Iteration 30: SSE = 91.6704565947222
Iteration 31: SSE = 91.17305428923899
Iteration 32: SSE = 90.4270663864295
Iteration 33: SSE = 89.94964517520398
Iteration 34: SSE = 89.5951844490359
Iteration 35: SSE = 89.42640503260868
Iteration 36: SSE = 89.25720346415952
Iteration 37: SSE = 89.07679702595993
Iteration 38: SSE = 88.86960753080345
Iteration 39: SSE = 88.34844820158459
Iteration 40: SSE = 87.6975883317254
Iteration 41: SSE = 87.21535965657785
Iteration 42: SSE = 86.91823520934203
Iteration 43: SSE = 86.26057722344113
Iteration 44: SSE = 85.93846358991543
Iteration 45: SSE = 85.70354059453503
Iteration 46: SSE = 85.39343979565943
Iteration 47: SSE = 85.12595333677038
Iteration 48: SSE = 84.90799011946393
Iteration 49: SSE = 84.7603751793914
Iteration 50: SSE = 84.68143305926577

Run 5
-------
Iteration 1: SSE = 171.7567863767182
Iteration 2: SSE = 136.88957023950644
Iteration 3: SSE = 128.23041545316107
Iteration 4: SSE = 121.46767531911811
Iteration 5: SSE = 117.0287440328591
Iteration 6: SSE = 113.81670378455271
Iteration 7: SSE = 111.30459676574816
Iteration 8: SSE = 110.10593638327427
Iteration 9: SSE = 108.56041035575596
Iteration 10: SSE = 107.54139491093136
Iteration 11: SSE = 106.79012874435874
Iteration 12: SSE = 105.8884788354701
Iteration 13: SSE = 104.89194346250025
Iteration 14: SSE = 103.80887864291415
Iteration 15: SSE = 102.38124340671787
Iteration 16: SSE = 100.98619512947941
Iteration 17: SSE = 99.5537841951747
Iteration 18: SSE = 98.79070810798856
Iteration 19: SSE = 98.38458301003301
Iteration 20: SSE = 97.84394260589363
Iteration 21: SSE = 97.34270361361456
Iteration 22: SSE = 96.88327815617156
Iteration 23: SSE = 96.53871403741337
Iteration 24: SSE = 96.2390216243479
Iteration 25: SSE = 95.88365677652014
Iteration 26: SSE = 95.2656285552691
Iteration 27: SSE = 94.43939626766073
Iteration 28: SSE = 93.92753774347787
Iteration 29: SSE = 93.48948783002736
Iteration 30: SSE = 92.76102129430765
Iteration 31: SSE = 92.48206388685435
Iteration 32: SSE = 92.32926167369075
Iteration 33: SSE = 92.15760593903414
Iteration 34: SSE = 91.99601147822968
Iteration 35: SSE = 91.83095626498132
Iteration 36: SSE = 91.4965573746974
Iteration 37: SSE = 90.81196072556041
Iteration 38: SSE = 90.15647921053008
Iteration 39: SSE = 89.7738332253273
Iteration 40: SSE = 89.51409058139343
Iteration 41: SSE = 89.34086977674555
Iteration 42: SSE = 89.17621922307579
Iteration 43: SSE = 89.0079689728131
Iteration 44: SSE = 88.66150192150553
Iteration 45: SSE = 88.27019384606375
Iteration 46: SSE = 87.58786245012597
Iteration 47: SSE = 87.04918688926654
Iteration 48: SSE = 86.32613215566059
Iteration 49: SSE = 85.93550752921641
Iteration 50: SSE = 85.69874627674324
Iteration 51: SSE = 85.44357442069409
Iteration 52: SSE = 85.158738634069
Iteration 53: SSE = 84.94842352750278
Iteration 54: SSE = 84.7943826994075
Iteration 55: SSE = 84.71559000279571

Run 6
-------
Iteration 1: SSE = 173.78350635210623
Iteration 2: SSE = 128.34017039331218
Iteration 3: SSE = 121.85659969663675
Iteration 4: SSE = 119.40462434746533
Iteration 5: SSE = 117.16122205162708
Iteration 6: SSE = 116.4055879041498
Iteration 7: SSE = 115.48557346439942
Iteration 8: SSE = 112.10068553015549
Iteration 9: SSE = 105.51578341975781
Iteration 10: SSE = 102.26493479323119
Iteration 11: SSE = 100.91912110918267
Iteration 12: SSE = 99.80387706471919
Iteration 13: SSE = 99.09088027962238
Iteration 14: SSE = 98.01443514771258
Iteration 15: SSE = 97.40514896436908
Iteration 16: SSE = 96.9698035262943
Iteration 17: SSE = 96.69623619518322
Iteration 18: SSE = 96.41770638360923
Iteration 19: SSE = 96.13237271430755
Iteration 20: SSE = 95.79112768112374
Iteration 21: SSE = 95.21424638800639
Iteration 22: SSE = 94.3591893187794
Iteration 23: SSE = 93.79456677895325
Iteration 24: SSE = 93.35954170264463
Iteration 25: SSE = 92.68600622342777
Iteration 26: SSE = 92.41354355034713
Iteration 27: SSE = 92.29801673806033
Iteration 28: SSE = 92.14018255709072
Iteration 29: SSE = 91.97085798130519
Iteration 30: SSE = 91.77742325218166
Iteration 31: SSE = 91.41543478074198
Iteration 32: SSE = 90.66051276370179
Iteration 33: SSE = 90.06815765055818
Iteration 34: SSE = 89.7233739642853
Iteration 35: SSE = 89.47867331919826
Iteration 36: SSE = 89.32091061771254
Iteration 37: SSE = 89.15446829530546
Iteration 38: SSE = 88.97378875585312
Iteration 39: SSE = 88.56211271323971
Iteration 40: SSE = 88.13456224570515
Iteration 41: SSE = 87.50141809055229
Iteration 42: SSE = 86.99267948051525
Iteration 43: SSE = 86.28413704902489
Iteration 44: SSE = 85.94349869247715
Iteration 45: SSE = 85.71579682622682
Iteration 46: SSE = 85.42566198516363
Iteration 47: SSE = 85.140544791506
Iteration 48: SSE = 84.90799801165366
Iteration 49: SSE = 84.75587981985959
Iteration 50: SSE = 84.67892843623815

Run 7
-------
Iteration 1: SSE = 198.5876608248721
Iteration 2: SSE = 137.6657930831474
Iteration 3: SSE = 128.67495820298973
Iteration 4: SSE = 121.3551726323082
Iteration 5: SSE = 117.71324270114758
Iteration 6: SSE = 116.58502471929422
Iteration 7: SSE = 115.06771324333906
Iteration 8: SSE = 110.66802255731855
Iteration 9: SSE = 105.21416538654326
Iteration 10: SSE = 102.35858350012037
Iteration 11: SSE = 101.02530220483717
Iteration 12: SSE = 99.87230518418022
Iteration 13: SSE = 98.85612469999899
Iteration 14: SSE = 97.77349609857905
Iteration 15: SSE = 97.18833879750363
Iteration 16: SSE = 96.76626466917571
Iteration 17: SSE = 96.42384558332584
Iteration 18: SSE = 96.11223042534431
Iteration 19: SSE = 95.67154592433968
Iteration 20: SSE = 94.95288388663846
Iteration 21: SSE = 93.96685743628748
Iteration 22: SSE = 93.46207200615859
Iteration 23: SSE = 93.17252698179345
Iteration 24: SSE = 92.58266219657098
Iteration 25: SSE = 92.37560581067237
Iteration 26: SSE = 92.22614743265075
Iteration 27: SSE = 92.02476414140548
Iteration 28: SSE = 91.79845041455653
Iteration 29: SSE = 91.28913206130235
Iteration 30: SSE = 90.49496191711881
Iteration 31: SSE = 89.99017212680123
Iteration 32: SSE = 89.64511225288057
Iteration 33: SSE = 89.44059941933718
