yeast.txt  10.0 100.0 0.001 100.0
Iteration 7: SSE = 114.18725947209832
Iteration 8: SSE = 110.64742521185534
Iteration 9: SSE = 104.89832686853676
Iteration 10: SSE = 101.91711278154044
Iteration 11: SSE = 100.58749105584513
Iteration 12: SSE = 99.56451788518793
Iteration 13: SSE = 98.93827211700332
Iteration 14: SSE = 97.85370063959675
Iteration 15: SSE = 97.28631622997
Iteration 16: SSE = 96.80424436148323
Iteration 17: SSE = 96.52656693494698
Iteration 18: SSE = 96.25203649341843
Iteration 19: SSE = 95.87096715586247
Iteration 20: SSE = 95.3933292834363
Iteration 21: SSE = 94.40650519054809
Iteration 22: SSE = 93.73804580808611
Iteration 23: SSE = 93.30750249620708
Iteration 24: SSE = 92.66120993319309
Iteration 25: SSE = 92.41612482484899
Iteration 26: SSE = 92.29414806251903
Iteration 27: SSE = 92.1316488816143
Iteration 28: SSE = 91.96979310801828
Iteration 29: SSE = 91.7723035140084
Iteration 30: SSE = 91.3456001006313
Iteration 31: SSE = 90.59351035016442
Iteration 32: SSE = 90.02211622660997
Iteration 33: SSE = 89.66872596712416
Iteration 34: SSE = 89.44261248717415
Iteration 35: SSE = 89.28352439183769
Iteration 36: SSE = 89.12983991832897
Iteration 37: SSE = 88.93111939991184
Iteration 38: SSE = 88.5214123614564
Iteration 39: SSE = 88.1173349782485
Iteration 40: SSE = 87.50417507947421
Iteration 41: SSE = 87.02116283395465
Iteration 42: SSE = 86.31763365359055
Iteration 43: SSE = 85.95702556964848
Iteration 44: SSE = 85.76436105594875
Iteration 45: SSE = 85.46823916770327
Iteration 46: SSE = 85.1675024042646
Iteration 47: SSE = 84.99524719123853
Iteration 48: SSE = 84.77887689018154
Iteration 49: SSE = 84.68571788104602
Iteration 50: SSE = 84.644560263299

Run 5
-------
Iteration 1: SSE = 194.09533382581716
Iteration 2: SSE = 131.5286994806529
Iteration 3: SSE = 123.48669501684383
Iteration 4: SSE = 119.64668320667552
Iteration 5: SSE = 116.8890374043278
Iteration 6: SSE = 115.51313858704154
Iteration 7: SSE = 114.14539742545755
Iteration 8: SSE = 110.71114508681364
Iteration 9: SSE = 105.02153847692682
Iteration 10: SSE = 101.95959428844338
Iteration 11: SSE = 100.62617559957178
Iteration 12: SSE = 99.63250285747954
Iteration 13: SSE = 98.97213030595204
Iteration 14: SSE = 97.87053542495094
Iteration 15: SSE = 97.27918888755842
Iteration 16: SSE = 96.804324121048
Iteration 17: SSE = 96.53848020352605
Iteration 18: SSE = 96.2697938466164
Iteration 19: SSE = 95.94172861067264
Iteration 20: SSE = 95.452154240314
Iteration 21: SSE = 94.40435033256306
Iteration 22: SSE = 93.70374467158956
Iteration 23: SSE = 93.27581403000721
Iteration 24: SSE = 92.63691516940867
Iteration 25: SSE = 92.43951154398488
Iteration 26: SSE = 92.30981704693053
Iteration 27: SSE = 92.14337691553916
Iteration 28: SSE = 91.97530945637233
Iteration 29: SSE = 91.77435048919014
Iteration 30: SSE = 91.38116231740906
Iteration 31: SSE = 90.60384852934483
Iteration 32: SSE = 90.02276798236659
Iteration 33: SSE = 89.66872596712416
Iteration 34: SSE = 89.44261248717415
Iteration 35: SSE = 89.28352439183769
Iteration 36: SSE = 89.12983991832897
Iteration 37: SSE = 88.93111939991184
